run_id,f814d974
video_name,input_27c02e43.mp4
px_per_cm,25.0

metric,value
estimated_fish_count,8
fish_big_cm,12.242786923093659
fish_small_cm,11.112905813852946
min_length_cm,4.101367950439453
max_length_cm,12.89727783203125
fish_details,"[{'id': 'Ikan 1', 'mean_length_cm': 11.521151084899902}, {'id': 'Ikan 2', 'mean_length_cm': 5.479068262823697}, {'id': 'Ikan 3', 'mean_length_cm': 10.704660542805989}, {'id': 'Ikan 4', 'mean_length_cm': 12.242786923093659}, {'id': 'Ikan 5', 'mean_length_cm': 5.092252345312209}, {'id': 'Ikan 6', 'mean_length_cm': 5.400289448824796}, {'id': 'Ikan 7', 'mean_length_cm': 5.358827690745509}, {'id': 'Ikan 8', 'mean_length_cm': 5.567180395126343}]"
